"Year" "Age" "Male"
"1" "1921" "20" 69641.1736179549
"2" "1921" "21" 67909.5171710557
"3" "1921" "22" 73862.4998382648
"4" "1921" "23" 73309.9377650879
"5" "1921" "24" 68441.6607347663
"6" "1921" "25" 74666.5278525303
"7" "1921" "26" 74411.5212988979
"8" "1921" "27" 73125.9767430696
"9" "1921" "28" 69670.1775280742
"10" "1921" "29" 65455.5361051938
"11" "1921" "30" 75023.9865262232
"12" "1921" "31" 70720.6402830806
"13" "1921" "32" 74660.3633149636
"14" "1921" "33" 64100.6608560754
"15" "1921" "34" 68951.6801561223
"16" "1921" "35" 69642.0303621307
"17" "1921" "36" 69238.2492309392
"18" "1921" "37" 63527.3288945627
"19" "1921" "38" 68448.4156222495
"20" "1921" "39" 62448.6952888765
"21" "1921" "40" 56270.990854106
"22" "1921" "41" 58154.4669372286
"23" "1921" "42" 59947.2696613927
"24" "1921" "43" 55192.0882686651
"25" "1921" "44" 53425.8542077128
"26" "1921" "45" 49175.7986539525
"27" "1921" "46" 48922.1387571097
"28" "1921" "47" 42972.7519238846
"29" "1921" "48" 49019.7207658443
"30" "1921" "49" 42136.3156447711
"31" "1921" "50" 39228.8217427364
"32" "1921" "51" 38389.2706958558
"33" "1921" "52" 39514.1049727975
"34" "1921" "53" 37226.0739713935
"35" "1921" "54" 37569.1025843907
"36" "1921" "55" 29645.9840155462
"37" "1921" "56" 32170.807928885
"38" "1921" "57" 30860.8787426198
"39" "1921" "58" 27272.2779227841
"40" "1921" "59" 30871.4601380001
"41" "1921" "60" 29661.6117352107
"42" "1921" "61" 28793.3806035944
"43" "1921" "62" 24043.3715394616
"44" "1921" "63" 25008.986559366
"45" "1921" "64" 24723.679741572
"46" "1921" "65" 21216.4942666295
"47" "1921" "66" 17845.0164457169
"48" "1921" "67" 19627.5609629255
"49" "1921" "68" 18131.1180133533
"50" "1921" "69" 15647.0844004277
"51" "1921" "70" 15257.1305105281
"52" "1921" "71" 13980.4270462058
"53" "1921" "72" 12755.6390179343
"54" "1921" "73" 9988.15466900913
"55" "1921" "74" 9085.22017812358
"56" "1921" "75" 8620.43530739293
"57" "1921" "76" 7410.34488316482
"58" "1921" "77" 6503.20005854023
"59" "1921" "78" 5883.57456383546
"60" "1921" "79" 5854.63447513415
"61" "1921" "80" 5285.76274592668
"62" "1921" "81" 3977.67102055687
"63" "1921" "82" 3681.52635745669
"64" "1921" "83" 3350.52907111517
"65" "1921" "84" 2734.3225477064
"66" "1921" "85" 2220.51827217806
"67" "1921" "86" 1818.56139716653
"68" "1921" "87" 1334.88639366452
"69" "1921" "88" 1104.06221003444
"70" "1921" "89" 895.207033487069
"71" "1921" "90" 678.574981327222
"72" "1921" "91" 520.049308984646
"73" "1921" "92" 378.73475467135
"74" "1921" "93" 256.80895608617
"75" "1921" "94" 205.406054916384
"76" "1921" "95" 130.576422139721
"77" "1921" "96" 113.883208427154
"78" "1921" "97" 79.1013235733472
"79" "1921" "98" 49.406009915879
"80" "1921" "99" 33.8579683408933
"81" "1922" "20" 70820.6248136923
"82" "1922" "21" 72561.1230344889
"83" "1922" "22" 65726.2616471173
"84" "1922" "23" 68308.7076837076
"85" "1922" "24" 64622.6398980393
"86" "1922" "25" 71483.0862532662
"87" "1922" "26" 71969.6934996965
"88" "1922" "27" 65248.165423223
"89" "1922" "28" 68209.747451952
"90" "1922" "29" 74104.8809702181
"91" "1922" "30" 64648.0245369511
"92" "1922" "31" 72166.0499927357
"93" "1922" "32" 66992.7990279497
"94" "1922" "33" 69149.4499282429
"95" "1922" "34" 64109.8808330248
"96" "1922" "35" 70183.3311629515
"97" "1922" "36" 71746.9068795496
"98" "1922" "37" 65393.9587230867
"99" "1922" "38" 69249.0073422459
"100" "1922" "39" 59734.8541109248
"101" "1922" "40" 63143.8517858706
"102" "1922" "41" 64019.7957850506
"103" "1922" "42" 60367.7394880753
"104" "1922" "43" 52324.4166619936
"105" "1922" "44" 53985.4351573715
"106" "1922" "45" 57457.9468487299
"107" "1922" "46" 46827.8645460918
"108" "1922" "47" 50207.0331530997
"109" "1922" "48" 43629.1219366616
"110" "1922" "49" 48767.519628826
"111" "1922" "50" 44004.4175576701
"112" "1922" "51" 38625.1519442409
"113" "1922" "52" 40425.1578476678
"114" "1922" "53" 38951.9151834141
"115" "1922" "54" 39620.6616319847
"116" "1922" "55" 31939.6050418128
"117" "1922" "56" 30836.7996121253
"118" "1922" "57" 27226.5223061952
"119" "1922" "58" 27233.9568806878
"120" "1922" "59" 25903.4536159094
"121" "1922" "60" 25772.6787174844
"122" "1922" "61" 29576.1794344388
"123" "1922" "62" 25061.0337373151
"124" "1922" "63" 25880.7120107891
"125" "1922" "64" 23929.9577292502
"126" "1922" "65" 20609.6052082191
"127" "1922" "66" 22006.95689746
"128" "1922" "67" 18052.4514366321
"129" "1922" "68" 18888.1724350298
"130" "1922" "69" 14814.9247386687
"131" "1922" "70" 14552.5134886015
"132" "1922" "71" 12583.2832631899
"133" "1922" "72" 12073.3706867872
"134" "1922" "73" 11744.0818450584
"135" "1922" "74" 9755.45592996312
"136" "1922" "75" 8551.69248816541
"137" "1922" "76" 8434.31352860019
"138" "1922" "77" 7644.99517623154
"139" "1922" "78" 5849.6745664015
"140" "1922" "79" 5173.21820484575
"141" "1922" "80" 5048.66521743799
"142" "1922" "81" 4819.80019186664
"143" "1922" "82" 3987.13580983048
"144" "1922" "83" 3354.39281677407
"145" "1922" "84" 2599.98932942667
"146" "1922" "85" 2315.69498044997
"147" "1922" "86" 1632.20333696847
"148" "1922" "87" 1254.84925802095
"149" "1922" "88" 1103.59875959909
"150" "1922" "89" 942.698674308148
"151" "1922" "90" 644.844399630155
"152" "1922" "91" 533.61261101228
"153" "1922" "92" 362.95996214922
"154" "1922" "93" 266.205374705393
"155" "1922" "94" 220.5864074803
"156" "1922" "95" 150.096819257542
"157" "1922" "96" 111.618734836
"158" "1922" "97" 79.8308523885352
"159" "1922" "98" 58.7463782759258
"160" "1922" "99" 35.1016467847088
